"A window seat, please.","窓際の席をお願いします。"
"An aisle seat, please.","通路側の席をお願いします。"
"Any idea for souvenirs?","おみやげには何がお勧めですか？"
"Are there any good restaurants around here?","このあたりでなにかいいレストランはありますか？"
"Are there any landmarks?","何か目印はありますか？"
"Are you traveling alone?","一人旅ですか？"
"Can I book a room for tomorrow night?","明日の部屋を予約したいのですが。"
"Can I cancel my flight?","予約を取り消したいのですが。"
"Can I change my flight?","便の変更をしたいのですが。"
"Can I change my order?","注文を変えてもいいですか？"
"Can I change my reservation?","予約を変更したいのですが。"
"Can I confirm my departure time?","出発時刻を確認したいのですが。"
"Can I have the menu?","メニューをいただけますか？"
"Can I just see the menu?","メニューを見せていただけますか？"
"Can I make a collect call to Japan?","日本にコレクトコールをかけたいのですが。"
"Can I make a reservation for four at eight o'clock tonight?","今夜８時に４名で予約したいのですが。"
"Can I make an international call from this phone?","この電話から国際電話はかけられますか？"
"Can I order room service?","ルームサービスをお願いします。"
"Can I order?","注文していいですか。"
"Can I pay in Japanese yen?","日本円は使えますか？"
"Can I take this on the plane?","これは機内に持ち込めますか？"
"Can I try it on?","履いてみていいですか？"
"Can I try this on?","これを試着してもいいですか？"
"Can I use the Internet?","インターネットを利用したいのですが。"
"Can we get a guide?","ガイドを付けてもらえますか？"
"Can we sit together?","一緒に座りたいのですが。"
"Can you gift-wrap this?","ギフト用に包装してもらえますか？"
"Can you give me a wake-up call tomorrow?","モーニングコールをお願いします。"
"Can you make it a little cheaper?","少し安くしてもらえませんか？"
"Can you open the trunk?","トランクを開けてください。"
"Can you show me how to use the printer?","プリンターの使い方を教えてください。"
"Could I have it later?","後でいただけますか？"
"Could you call a doctor for me, please?","医者を呼んでもらえませんか？"
"Could you get a taxi for me?","タクシーをひろってもらえませんか？"
"Could you get me a taxi?","タクシーを呼んでもらえますか？"
"Could you say that more slowly?","もっとゆっくり言っていただけませんか？"
"Could you show me how to ride this?","これの乗り方を教えてください。"
"Could you tell me how to get to Chinatown?","チャイナタウンまでの行き方を教えてください。"
"Could you tell me how to make a call?","電話のかけ方を教えてください。"
"Do I need a reservation?","予約は必要ですか？"
"Do you have any aisle seats available?","通路側の席はありますか？"
"Do you mind if I put my seat back?","シートを倒してもいいですか？"
"Does it come with breakfast?","朝食は付いていますか？"
"Have you got a non-smoking room?","禁煙室はありますか？"
"Have you tried Japanese food?","日本食は食べたことがありますか？"
"Help!","助けて！"
"How do I get to this place?","ここへの行き方を教えてください。"
"How long is the wait?","待ち時間はどのくらいですか？"
"How much is the cover?","入場料はいくらですか？"
"How's the weather tomorrow?","明日の天気はどうでしょうか？"
"I left my coat in the room.","部屋にコートを忘れました。"
"I think you got the wrong number.","番号をお間違えのようです。"
"I'd like to check in, please.","チェックインをお願いします。"
"I'd like to check in.","チェックインをお願いします。"
"I'd like to report a theft.","盗難届を出したいのですが。"
"I'm really full.","もう十分にいただきました。"
"I'm taking this on the plane.","このバッグは機内に持ち込みます。"
"Is there a pay phone around here?","この辺に公衆電話はありますか？"
"Is this the queue for tickets?","これはチケット購入の列ですか？"
"Just tell him I called.","私から電話があったことだけ伝えてください。"
"Keep the change.","お釣りはとっておいてください。"
"Let me off.","降ろしてください。"
"May I see the seating map?","座席表を見せてくださいませんか？"
"May I use the restroom?","お手洗いはどこですか？"
"My flight number is JA109.","フライトナンバーはＪＡ１０９です。"
"One-way.","片道でお願いします。"
"Please call 911!","１１０番・１１９番呼んで！"
"Please call an ambulance!","救急車を呼んでください！"
"Please get him!","あいつを捕まえて！"
"Please send someone up.","ちょっと来てもらえませんか？"
"Round-trip.","往復でお願いします。"
"Sure, I'll hold.","このまま待ちます。"
"Thanks for having me over.","お招きありがとうございます。"
"The price is beyond my budget.","予算を越えています。"
"What do you recommend for sightseeing?","観光には何がお勧めですか？"
"What kind of movies are popular now?","今どんな映画がはやっていますか？"
"What time can I check in?","チェックインは何時からできますか？"
"What time do you start serving breakfast?","朝食は何時からですか？"
"What time is the boarding time?","搭乗時間は何時ですか？"
"Whatever's good.","おいしいものだったらなんでも。"
"What's a good place to shop around here?","この辺で買い物に行くのにはどこがいいですか？"
"What's for dinner?","夕食のメニューは何ですか？"
"What's he (she) having?","あの男性が食べているのは何ですか？"
"What's this dish called?","これはなんという料理ですか？"
"What's today's special?","今日のスペシャルはなんですか？"
"When are you open till?","何時まで開いていますか？"
"When should I check in by?","いつまでにチェックインすればよいですか？"
"When's the boarding time?","搭乗時間は何時ですか？"
"Where can I find an Internet cafe around here?","この辺のインターネットカフェはどこですか？"
"Where do I check in?","搭乗手続きはどこでするのですか？"
"Where does it leave from?","出発はどこからですか？"
"Where is the baggage claim?","荷物受取所はどこですか？"
"Where's the check-in counter?","チェックイン・カウンターはどこですか？"
"Where's the closest pharmacy from here?","ここから一番近い薬局はどこですか？"
"Where's the Japanese Embassy?","日本大使館はどこですか？"
"Where's the lost-and-found?","紛失物取扱所はどこですか？"
"Where's the nearest tube station?","一番近くの地下鉄の駅はどこですか？"
"Where's the tourist information center?","観光案内所はどこですか？"
"Which exit is Broadway?","ブロードウェイに行くにはどの出口から出たらいいですか？"
